Gender,bodyFrame_Breadth,skin_Nature,skin_Color,weight_Changes,nails_color,teeth_Color,teeth_Shape,recalling_speed,memorizing_speed,sleep_Amount,sleep_Quality,speaking_Amount,speaking_Speed,walking_Speed,bowel_Freq,retainingFriends_quality,dreams_Amount,voice_clear,eye_Color,healthproblem_in_temp,hair_Growth,hair_Type,hair_Nature2,appetite_Amount,appetite_Frequency,bladder_Frequency,perspiration_Amount,stool_Consistency,mental_Power,physical_Power,Anger_Freq,Irritability_speed,speech_Argumentative,class
Male,Medium,Oily,Whitish,Stable,PaleYellow,Yellowish,Regular,Moderately,Moderately,High,Shallow,Moderate,Medium,Medium,Regular,Good,Medium,Clear,DarkBrown,None,Moderate,Thin,Falling,Medium,Regular,Regular,Medium,Medium,Grade2,Grade2,Poor,Moderately,Non_Argumentative,Pitta
Male,Thin/Narrow,Dry,Dark,Difficultyingaining,Reddish,MilkyWhite,Irregular,Moderately,Moderately,Medium,Shallow,Moderate,Slow,Quick/Fast/Brisk,Variable,Medium,Variable,Clear,LightBrown,Warm,Moderate,Thin,Non_Falling,High,Regular,Regular,Medium,Hard,Grade1,Grade1,Poor,Quickly,Non_Argumentative,Vata
Male,Broad,Normal,Dark,Gaineasilyandlosewithdifficulty,Reddish,Yellowish,Regular,Moderately,Quickly,High,Deep,Moderate,Slow,Slow,Regular,Good,Medium,Clear,DarkBrown,Warm,Moderate,Thick,Falling,Low,Regular,Regular,Medium,Medium,Grade2,Grade3,Medium,Moderately,Non_Argumentative,Kapha
Female,Broad,Normal,Whitish,Gainandloseeasily,Pink,MilkyWhite,Regular,Quickly,Quickly,Medium,Deep,Moderate,Medium,Medium,Regular,Medium,High,Clear,Black,None,Moderate,Thin,Non_Falling,Low,Regular,Regular,Low,Loose/Soft/Semisolid,Grade3,Grade3,Poor,Slowly,Non_Argumentative,Kapha
Male,Medium,Oily,FairReddish,Gainandloseeasily,Reddish,Dull/Blackish,Regular,Moderately,Moderately,Medium,Sound,Moderate,Medium,Medium,Regular,Medium,Low,Non_Clear,LightBrown,Warm,Moderate,Thin,Falling,Medium,Regular,Regular,High,Medium,Grade2,Grade2,Medium,Moderately,Non_Argumentative,Pitta
Male,Medium,Normal,FairPink,Gainandloseeasily,Reddish,MilkyWhite,Regular,Quickly,Quickly,High,Deep,Less,Medium,Slow,Regular,Good,Variable,Clear,Black,Both,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade2,Grade3,Medium,Moderately,Non_Argumentative,Kapha
Male,Medium,Oily,FairReddish,Gainandloseeasily,Pink,Yellowish,Regular,Moderately,Quickly,Medium,Sound,Moderate,Medium,Medium,Regular,Medium,Medium,Clear,LightBrown,Warm,Moderate,Thin,Falling,High,Regular,Regular,High,Medium,Grade2,Grade2,Medium,Moderately,Non_Argumentative,Pitta
Male,Thin/Narrow,Seasonal/Variable,Dark,Difficultyingaining,PaleYellow,Dull/Blackish,Irregular,Moderately,Moderately,Low,Shallow,Excessive,Quick,Quick/Fast/Brisk,Regular,Medium,Variable,Non_Clear,LightBrown,Cold,Scanty,Thin,Non_Falling,Variable,Irregular,Regular,Low,Medium,Grade1,Grade3,Medium,Quickly,Non_Argumentative,Vata
Male,Broad,Oily,Whitish,Gaineasilyandlosewithdifficulty,Reddish,Yellowish,Regular,Quickly,Moderately,Medium,Deep,Less,Slow,Medium,Regular,Good,Low,Clear,DarkBrown,Both,Dense,Thick,Non_Falling,High,Regular,Regular,Medium,Medium,Grade3,Grade3,Medium,Moderately,Non_Argumentative,Kapha
Male,Medium,Oily,Whitish,Stable,Pink,MilkyWhite,Regular,Moderately,Quickly,Medium,Sound,Moderate,Medium,Medium,Regular,Medium,Medium,Clear,DarkBrown,Warm,Dense,Thick,Non_Falling,Medium,Regular,Regular,High,Medium,Grade3,Grade2,Medium,Quickly,Argumentative,Pitta
Male,Thin/Narrow,Dry,Dark,Difficultyingaining,Pink,Dull/Blackish,Regular,Slowly,Moderately,Medium,Shallow,Moderate,Medium,Quick/Fast/Brisk,Regular,Medium,Medium,Non_Clear,DarkBrown,Warm,Moderate,Thin,Falling,Variable,Irregular,Regular,Low,Medium,Grade2,Grade2,Medium,Quickly,Non_Argumentative,Vata
Male,Broad,Normal,Dark,Gaineasilyandlosewithdifficulty,Pink,MilkyWhite,Regular,Quickly,Quickly,Medium,Deep,Moderate,Medium,Medium,Regular,Medium,Medium,Clear,LightBrown,None,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade3,Grade3,Medium,Slowly,Non_Argumentative,Kapha
Male,Medium,Normal,FairReddish,Gainandloseeasily,PaleYellow,Dull/Blackish,Regular,Quickly,Moderately,High,Shallow,Moderate,Quick,Variable,Regular,Medium,Low,Clear,LightBrown,None,Moderate,Thin,Falling,High,Regular,Regular,Medium,Medium,Grade2,Grade2,Poor,Slowly,Non_Argumentative,Pitta
Female,Thin/Narrow,Dry,Whitish,Difficultyingaining,PaleYellow,MilkyWhite,Regular,Moderately,Quickly,Low,Shallow,Excessive,Quick,Quick/Fast/Brisk,Irregular,Good,Medium,Clear,Black,Warm,Moderate,Thin,Falling,Low,Regular,Regular,Low,Medium,Grade1,Grade2,Good,Quickly,Non_Argumentative,Vata
